complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Elevator,Brooklyn,DOB,1541,0,0.2051,0.0,0.2363,273
Air Quality,Queens,DEP,507,10,0.01,0.2,0.2314,274
Air Quality,Brooklyn,DEP,653,19,0.0361,0.0,0.2306,275
Noise - Vehicle,Bronx,NYPD,3174,0,0.0003,0.0,0.23,276
Noise - Vehicle,Manhattan,NYPD,2947,0,0.0007,0.0,0.2244,277
General Construction/Plumbing,Manhattan,DOB,2016,0,0.0789,0.0,0.2227,278
Abandoned Vehicle,Bronx,NYPD,2767,0,0.0,0.0,0.2201,279
Building/Use,Bronx,DOB,781,0,0.356,0.0,0.2178,280
Unsanitary Animal Pvt Property,Brooklyn,DOHMH,241,27,0.1991,0.1481,0.2124,281
Noise - Commercial,Bronx,NYPD,2129,0,0.0005,0.0,0.2064,282
Building/Use,Staten Island,DOB,620,0,0.3823,0.0,0.2024,283
General Construction/Plumbing,Bronx,DOB,1409,0,0.0979,0.0,0.2022,284
Missed Collection,Bronx,DSNY,1041,0,0.196,0.0,0.2006,285
Street Sweeping Complaint,Manhattan,DSNY,272,8,0.0149,0.375,0.1999,286
Non-Emergency Police Matter,Manhattan,NYPD,1799,0,0.0,0.0,0.1989,287
Sanitation Worker or Vehicle Complaint,Brooklyn,DSNY,258,9,0.0354,0.3333,0.1982,288
General Construction/Plumbing,Staten Island,DOB,911,0,0.2119,0.0,0.1956,289
Broken Parking Meter,Manhattan,DOT,298,63,0.1391,0.0,0.1933,290
DOOR/WINDOW,Staten Island,HPD,242,46,0.0488,0.1957,0.1928,291
Non-Emergency Police Matter,Brooklyn,NYPD,1608,0,0.0,0.0,0.1899,292
Illegal Posting,Queens,DSNY,652,1,0.0031,0.0,0.1868,293
Non-Emergency Police Matter,Queens,NYPD,1561,0,0.0,0.0,0.1859,294
Abandoned Vehicle,Staten Island,NYPD,1505,0,0.0,0.0,0.1826,295
Unsanitary Animal Pvt Property,Bronx,DOHMH,240,16,0.136,0.125,0.1822,296
Elevator,Queens,DOB,937,0,0.1345,0.0,0.1804,297
Lost Property,Manhattan,TLC,1411,0,0.0,0.0,0.1785,298
Noise - Street/Sidewalk,Staten Island,NYPD,1336,0,0.0277,0.0,0.1765,299
Vendor Enforcement,Brooklyn,DSNY,1365,0,0.0,0.0,0.1745,300
Blocked Driveway,Staten Island,NYPD,1358,0,0.0015,0.0,0.174,301
Litter Basket Request,Brooklyn,DSNY,436,8,0.0256,0.0,0.1716,302
Panhandling,Manhattan,NYPD,1341,0,0.0,0.0,0.1712,303
Blocked Driveway,Manhattan,NYPD,1298,0,0.0,0.0,0.1687,304
Emergency Response Team (ERT),Brooklyn,DOB,415,0,0.388,0.0,0.1679,305
Water Conservation,Queens,DEP,547,1,0.0,0.0,0.1664,306
Water Conservation,Bronx,DEP,406,3,0.0765,0.0,0.1663,307
Broken Parking Meter,Queens,DOT,202,43,0.1761,0.0,0.1636,308
Non-Emergency Police Matter,Bronx,NYPD,1222,0,0.0,0.0,0.1622,309
Building/Use,Manhattan,DOB,514,0,0.2685,0.0,0.1576,310
Noise - Park,Queens,NYPD,1111,0,0.0,0.0,0.1557,311
Water Conservation,Brooklyn,DEP,476,1,0.0021,0.0,0.1556,312
Vendor Enforcement,Queens,DSNY,1094,0,0.0,0.0,0.1533,313
Real Time Enforcement,Brooklyn,DOB,950,0,0.0042,0.0,0.1494,314
Drug Activity,Queens,NYPD,942,0,0.0,0.0,0.1476,315
Special Projects Inspection Team (SPIT),Manhattan,DOB,542,0,0.2177,0.0,0.1465,316
Animal-Abuse,Brooklyn,NYPD,913,0,0.0,0.0,0.1435,317
Traffic,Queens,NYPD,897,0,0.0,0.0,0.1418,318
Special Projects Inspection Team (SPIT),Queens,DOB,457,0,0.2319,0.0,0.1371,319
